COUNTYNAME,Top_2004,WinP_2004,Top_2008,WinP_2008,Top_2012,WinP_2012,Top_2016,WinP_2016,Top_2020,WinP_2020
宜蘭縣,0.577060134,G,-0.514237132,B,0.525277493,G,0.620646201,G,0.632846949,G
新竹縣,-0.640625303,B,-0.740156166,B,-0.657610026,B,0.42524316,G,-0.474478447,B
苗栗縣,-0.607527839,B,-0.709892329,B,-0.638467183,B,0.4545236,G,-0.503198092,B
彰化縣,0.52261175,G,-0.575851291,B,-0.505807722,B,0.564721319,G,0.571695856,G
南投縣,-0.511127793,B,-0.620301466,B,-0.546298527,B,0.522319784,G,0.508256672,G
雲林縣,0.603245376,G,0.515303553,G,0.558103593,G,0.634094893,G,0.615616277,G
嘉義縣,0.62793282,G,0.544430158,G,0.585793468,G,0.653711308,G,0.642201178,G
屏東縣,0.580525746,G,0.502504526,G,0.551322397,G,0.634901949,G,0.621614323,G
臺東縣,-0.65579981,B,-0.733224399,B,-0.664728488,B,-0.446238596,B,-0.582814607,B
花蓮縣,-0.701696792,B,-0.77476676,B,-0.702968305,B,-0.47721886,B,-0.603816167,B
基隆市,-0.594383663,B,-0.677343045,B,-0.59288596,B,0.482164428,G,0.508240349,G
新竹市,-0.551232491,B,-0.646956075,B,-0.574346907,B,0.512236001,G,0.552558004,G
嘉義市,0.560590798,G,-0.523893398,B,0.510426648,G,0.598620501,G,0.613739505,G
臺北市,-0.565320677,B,-0.630324489,B,-0.578737233,B,0.519581828,G,0.53652632,G
高雄市,0.568713114,G,-0.502540853,B,0.534247421,G,0.633923475,G,0.62229551,G
新北市,-0.530541417,B,-0.610608741,B,-0.537277016,B,0.547944587,G,0.565219101,G
臺中市,0.500139247,G,-0.600273115,B,-0.521581199,B,0.550088898,G,0.569514916,G
臺南市,0.619712637,G,0.53335126,G,0.577220338,G,0.675174883,G,0.673782264,G
桃園市,-0.553221737,B,-0.646402949,B,-0.572005556,B,0.510270207,G,0.547812935,G
